id,product_name,product_description
1,Oversize Basic Tişört,"240 gsm pamuk, oversize kalıp, beyaz/siyah/grimelanj; günlük kullanım için nefes alır."
2,Heavy Hoodie,"400 gsm kalın pamuk-poly, yumuşak iç yüzey, kanguru cepli; kış için sıcak tutar."
3,Zip Hoodie,"350 gsm fermuarlı kapüşonlu, minimal logo, siyah ve lacivert; katmanlama için ideal."
4,Crewneck Sweatshirt,"320 gsm yuvarlak yaka sweatshirt, regular fit; rib detaylı kol ve bel ucu."
5,Jogger Eşofman Altı,"%100 pamuk, lastikli paça, yan cepli; rahat kesim, ev ve spor için uygun."
6,Cargo Jogger,"Pamuk-stretch karışım, yan cargo cepler, regular fit; sokak stili için dayanıklı."
7,Sweat Şort,"280 gsm pamuk, diz üstü, ayarlanabilir bel; yaz için hafif ve konforlu."
8,Polo Tişört,"Pike dokuma, klasik yakalı, slim fit; ofis-casual kombinler için uygun."
9,Basic Tank Top,"Yumuşak rib dokulu atlet, regular fit; iç katman ve yaz kullanımı."
10,Softshell Rüzgarlık,"Su itici softshell, hafif kapüşonlu, nefes alır; mevsim geçişleri için ideal."
